Value,zip_5,statisticcat_desc,state_fips_code,util_practice_desc,freq_desc,domaincat_desc,end_code,week_ending,year,county_name,load_time,source_desc,sector_desc,county_ansi,prodn_practice_desc,class_desc,domain_desc,unit_desc,congr_district_code,state_alpha,watershed_code,state_ansi,country_name,asd_code,reference_period_desc,commodity_desc,county_code,agg_level_desc,watershed_desc,group_desc,region_desc,location_desc,begin_code,short_desc,asd_desc,state_name,CV (%),country_code
116.9,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,INGHAM,2012-01-01 00:00:00.000,SURVEY,CROPS,065,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,065,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, INGHAM",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
129.4,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,IONIA,2012-01-01 00:00:00.000,SURVEY,CROPS,067,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,067,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, IONIA",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
106.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,JACKSON,2012-01-01 00:00:00.000,SURVEY,CROPS,075,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,075,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, JACKSON",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
129.4,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,ST JOSEPH,2012-01-01 00:00:00.000,SURVEY,CROPS,149,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,149,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
107.4,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,SHIAWASSEE,2012-01-01 00:00:00.000,SURVEY,CROPS,155,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,80,YEAR,CORN,155,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTH CENTRAL,MICHIGAN,,9000
101.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,GENESEE,2012-01-01 00:00:00.000,SURVEY,CROPS,049,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,049,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, GENESEE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
104.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,LAPEER,2012-01-01 00:00:00.000,SURVEY,CROPS,087,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,087,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, LAPEER",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
88.9,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,LENAWEE,2012-01-01 00:00:00.000,SURVEY,CROPS,091,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,091,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, LENAWEE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
110,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,LIVINGSTON,2012-01-01 00:00:00.000,SURVEY,CROPS,093,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,093,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, LIVINGSTON",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
105.3,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MACOMB,2012-01-01 00:00:00.000,SURVEY,CROPS,099,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,099,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, MACOMB",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
90.2,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,MONROE,2012-01-01 00:00:00.000,SURVEY,CROPS,115,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,115,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, MONROE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
82.6,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,OAKLAND,2012-01-01 00:00:00.000,SURVEY,CROPS,125,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,125,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, OAKLAND",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
102.1,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,ST CLAIR,2012-01-01 00:00:00.000,SURVEY,CROPS,147,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,147,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, ST CLAIR",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
89.3,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,WASHTENAW,2012-01-01 00:00:00.000,SURVEY,CROPS,161,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,161,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, WASHTENAW",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
100,,YIELD,26,GRAIN,ANNUAL,NOT SPECIFIED,00,,1991,WAYNE,2012-01-01 00:00:00.000,SURVEY,CROPS,163,ALL PRODUCTION PRACTICES,ALL CLASSES,TOTAL,BU / ACRE,,MI,00000000,26,UNITED STATES,90,YEAR,CORN,163,COUNTY,,FIELD CROPS,,"MICHIGAN, SOUTHEAST, WAYNE",00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",SOUTHEAST,MICHIGAN,,9000
