reference_period_desc,unit_desc,agg_level_desc,week_ending,congr_district_code,domaincat_desc,freq_desc,commodity_desc,location_desc,region_desc,prodn_practice_desc,begin_code,zip_5,short_desc,asd_code,watershed_code,sector_desc,util_practice_desc,state_ansi,Value,group_desc,county_name,statisticcat_desc,state_fips_code,CV (%),source_desc,county_ansi,state_name,asd_desc,county_code,state_alpha,watershed_desc,country_name,country_code,year,domain_desc,end_code,class_desc,load_time
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHWEST, CASS",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,00000000,CROPS,GRAIN,26,105.6,FIELD CROPS,CASS,YIELD,26,,SURVEY,027,MICHIGAN,SOUTHWEST,027,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHWEST, KALAMAZOO",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,00000000,CROPS,GRAIN,26,116.8,FIELD CROPS,KALAMAZOO,YIELD,26,,SURVEY,077,MICHIGAN,SOUTHWEST,077,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHWEST, KENT",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,00000000,CROPS,GRAIN,26,105.1,FIELD CROPS,KENT,YIELD,26,,SURVEY,081,MICHIGAN,SOUTHWEST,081,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHWEST, OTTAWA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,00000000,CROPS,GRAIN,26,94,FIELD CROPS,OTTAWA,YIELD,26,,SURVEY,139,MICHIGAN,SOUTHWEST,139,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHWEST, VAN BUREN",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70,00000000,CROPS,GRAIN,26,85.6,FIELD CROPS,VAN BUREN,YIELD,26,,SURVEY,159,MICHIGAN,SOUTHWEST,159,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, BARRY",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,98.2,FIELD CROPS,BARRY,YIELD,26,,SURVEY,015,MICHIGAN,SOUTH CENTRAL,015,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, BRANCH",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,118.6,FIELD CROPS,BRANCH,YIELD,26,,SURVEY,023,MICHIGAN,SOUTH CENTRAL,023,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, CALHOUN",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,104.9,FIELD CROPS,CALHOUN,YIELD,26,,SURVEY,025,MICHIGAN,SOUTH CENTRAL,025,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, CLINTON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,109.2,FIELD CROPS,CLINTON,YIELD,26,,SURVEY,037,MICHIGAN,SOUTH CENTRAL,037,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, EATON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,109.1,FIELD CROPS,EATON,YIELD,26,,SURVEY,045,MICHIGAN,SOUTH CENTRAL,045,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,111.1,FIELD CROPS,HILLSDALE,YIELD,26,,SURVEY,059,MICHIGAN,SOUTH CENTRAL,059,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, INGHAM",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,112.5,FIELD CROPS,INGHAM,YIELD,26,,SURVEY,065,MICHIGAN,SOUTH CENTRAL,065,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, IONIA",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,104.8,FIELD CROPS,IONIA,YIELD,26,,SURVEY,067,MICHIGAN,SOUTH CENTRAL,067,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, JACKSON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,101.8,FIELD CROPS,JACKSON,YIELD,26,,SURVEY,075,MICHIGAN,SOUTH CENTRAL,075,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,105,FIELD CROPS,ST JOSEPH,YIELD,26,,SURVEY,149,MICHIGAN,SOUTH CENTRAL,149,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80,00000000,CROPS,GRAIN,26,97.4,FIELD CROPS,SHIAWASSEE,YIELD,26,,SURVEY,155,MICHIGAN,SOUTH CENTRAL,155,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, GENESEE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,96.7,FIELD CROPS,GENESEE,YIELD,26,,SURVEY,049,MICHIGAN,SOUTHEAST,049,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, LAPEER",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,99.9,FIELD CROPS,LAPEER,YIELD,26,,SURVEY,087,MICHIGAN,SOUTHEAST,087,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, LENAWEE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,119.8,FIELD CROPS,LENAWEE,YIELD,26,,SURVEY,091,MICHIGAN,SOUTHEAST,091,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, LIVINGSTON",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,104,FIELD CROPS,LIVINGSTON,YIELD,26,,SURVEY,093,MICHIGAN,SOUTHEAST,093,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, MACOMB",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,101.1,FIELD CROPS,MACOMB,YIELD,26,,SURVEY,099,MICHIGAN,SOUTHEAST,099,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, MONROE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,116.5,FIELD CROPS,MONROE,YIELD,26,,SURVEY,115,MICHIGAN,SOUTHEAST,115,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, OAKLAND",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,101.4,FIELD CROPS,OAKLAND,YIELD,26,,SURVEY,125,MICHIGAN,SOUTHEAST,125,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, ST CLAIR",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,98.5,FIELD CROPS,ST CLAIR,YIELD,26,,SURVEY,147,MICHIGAN,SOUTHEAST,147,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, WASHTENAW",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,103,FIELD CROPS,WASHTENAW,YIELD,26,,SURVEY,161,MICHIGAN,SOUTHEAST,161,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
YEAR,BU / ACRE,COUNTY,,,NOT SPECIFIED,ANNUAL,CORN,"MICHIGAN, SOUTHEAST, WAYNE",,ALL PRODUCTION PRACTICES,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90,00000000,CROPS,GRAIN,26,115,FIELD CROPS,WAYNE,YIELD,26,,SURVEY,163,MICHIGAN,SOUTHEAST,163,MI,,UNITED STATES,9000,1986,TOTAL,00,ALL CLASSES,2012-01-01 00:00:00.000
