prodn_practice_desc,state_ansi,sector_desc,begin_code,country_name,region_desc,zip_5,commodity_desc,domain_desc,state_alpha,domaincat_desc,asd_code,CV (%),congr_district_code,location_desc,class_desc,country_code,statisticcat_desc,short_desc,watershed_desc,source_desc,county_code,state_fips_code,county_name,county_ansi,load_time,end_code,reference_period_desc,year,state_name,freq_desc,watershed_code,Value,util_practice_desc,unit_desc,group_desc,agg_level_desc,asd_desc,week_ending
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, IONIA",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,067,26,IONIA,067,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,165.1,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, JACKSON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,075,26,JACKSON,075,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,130.1,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,149,26,ST JOSEPH,149,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,163.1,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,80,,,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,155,26,SHIAWASSEE,155,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,141.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTH CENTRAL,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, GENESEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,049,26,GENESEE,049,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,134.4,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, LAPEER",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,087,26,LAPEER,087,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,139.1,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, LENAWEE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,091,26,LENAWEE,091,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,149.6,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, LIVINGSTON",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,093,26,LIVINGSTON,093,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,139.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, MACOMB",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,099,26,MACOMB,099,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,149.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, MONROE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,115,26,MONROE,115,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,156.6,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, OAKLAND",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,125,26,OAKLAND,125,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,129.4,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, ST CLAIR",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,147,26,ST CLAIR,147,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,145.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, WASHTENAW",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,161,26,WASHTENAW,161,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,144.5,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
ALL PRODUCTION PRACTICES,26,CROPS,00,UNITED STATES,,,CORN,TOTAL,MI,NOT SPECIFIED,90,,,"MICHIGAN, SOUTHEAST, WAYNE",ALL CLASSES,9000,YIELD,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,SURVEY,163,26,WAYNE,163,2015-06-03 15:08:31.000,00,YEAR,2011,MICHIGAN,ANNUAL,00000000,138.2,GRAIN,BU / ACRE,FIELD CROPS,COUNTY,SOUTHEAST,
