location_desc,county_code,domain_desc,state_name,state_fips_code,source_desc,state_ansi,util_practice_desc,zip_5,region_desc,congr_district_code,asd_desc,unit_desc,reference_period_desc,domaincat_desc,week_ending,Value,county_ansi,prodn_practice_desc,end_code,asd_code,statisticcat_desc,CV (%),sector_desc,county_name,agg_level_desc,group_desc,watershed_code,watershed_desc,year,freq_desc,short_desc,load_time,begin_code,country_code,state_alpha,class_desc,country_name,commodity_desc
"MICHIGAN, SOUTH CENTRAL, BRANCH",023,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,76.2,023,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,BRANCH,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, CALHOUN",025,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,78.8,025,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,CALHOUN,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, CLINTON",037,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,83,037,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,CLINTON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, EATON",045,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,79.3,045,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,EATON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, HILLSDALE",059,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,86.7,059,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,HILLSDALE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, INGHAM",065,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,83.7,065,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,INGHAM,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, IONIA",067,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,82.5,067,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,IONIA,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, JACKSON",075,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,77.6,075,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,JACKSON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",149,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,70,149,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,ST JOSEPH,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",155,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTH CENTRAL,BU / ACRE,YEAR,NOT SPECIFIED,,83.7,155,ALL PRODUCTION PRACTICES,00,80,YIELD,,CROPS,SHIAWASSEE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, GENESEE",049,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,88,049,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,GENESEE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, LAPEER",087,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,91.2,087,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,LAPEER,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, LENAWEE",091,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,100.1,091,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,LENAWEE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, LIVINGSTON",093,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,93.5,093,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,LIVINGSTON,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, MACOMB",099,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,92.9,099,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,MACOMB,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, MONROE",115,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,100.1,115,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,MONROE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, OAKLAND",125,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,80.6,125,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,OAKLAND,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, ST CLAIR",147,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,84.6,147,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,ST CLAIR,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, WASHTENAW",161,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,87.5,161,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,WASHTENAW,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
"MICHIGAN, SOUTHEAST, WAYNE",163,TOTAL,MICHIGAN,26,SURVEY,26,GRAIN,,,,SOUTHEAST,BU / ACRE,YEAR,NOT SPECIFIED,,91.9,163,ALL PRODUCTION PRACTICES,00,90,YIELD,,CROPS,WAYNE,COUNTY,FIELD CROPS,00000000,,1972,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",2012-01-01 00:00:00.000,00,9000,MI,ALL CLASSES,UNITED STATES,CORN
