domaincat_desc,reference_period_desc,unit_desc,asd_desc,region_desc,congr_district_code,util_practice_desc,zip_5,state_ansi,source_desc,state_fips_code,state_name,county_code,domain_desc,location_desc,country_name,commodity_desc,state_alpha,class_desc,country_code,load_time,begin_code,year,watershed_desc,watershed_code,short_desc,freq_desc,group_desc,agg_level_desc,county_name,asd_code,statisticcat_desc,CV (%),sector_desc,prodn_practice_desc,county_ansi,end_code,week_ending,Value
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,045,TOTAL,"MICHIGAN, SOUTH CENTRAL, EATON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,EATON,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,045,00,,62.2
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,059,TOTAL,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,HILLSDALE,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,059,00,,54.9
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,065,TOTAL,"MICHIGAN, SOUTH CENTRAL, INGHAM",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,INGHAM,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,065,00,,65.1
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,067,TOTAL,"MICHIGAN, SOUTH CENTRAL, IONIA",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,IONIA,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,067,00,,53
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,075,TOTAL,"MICHIGAN, SOUTH CENTRAL, JACKSON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,JACKSON,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,075,00,,50.3
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,149,TOTAL,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ST JOSEPH,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,149,00,,49
NOT SPECIFIED,YEAR,BU / ACRE,SOUTH CENTRAL,,,GRAIN,,26,SURVEY,26,MICHIGAN,155,TOTAL,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,SHIAWASSEE,80,YIELD,,CROPS,ALL PRODUCTION PRACTICES,155,00,,65.2
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,049,TOTAL,"MICHIGAN, SOUTHEAST, GENESEE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,GENESEE,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,049,00,,49.8
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,087,TOTAL,"MICHIGAN, SOUTHEAST, LAPEER",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,LAPEER,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,087,00,,53.3
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,091,TOTAL,"MICHIGAN, SOUTHEAST, LENAWEE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,LENAWEE,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,091,00,,74.6
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,093,TOTAL,"MICHIGAN, SOUTHEAST, LIVINGSTON",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,LIVINGSTON,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,093,00,,53.1
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,099,TOTAL,"MICHIGAN, SOUTHEAST, MACOMB",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MACOMB,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,099,00,,49.8
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,115,TOTAL,"MICHIGAN, SOUTHEAST, MONROE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,MONROE,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,115,00,,69.7
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,125,TOTAL,"MICHIGAN, SOUTHEAST, OAKLAND",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,OAKLAND,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,125,00,,52.5
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,147,TOTAL,"MICHIGAN, SOUTHEAST, ST CLAIR",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,ST CLAIR,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,147,00,,45.7
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,161,TOTAL,"MICHIGAN, SOUTHEAST, WASHTENAW",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,WASHTENAW,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,161,00,,51.8
NOT SPECIFIED,YEAR,BU / ACRE,SOUTHEAST,,,GRAIN,,26,SURVEY,26,MICHIGAN,163,TOTAL,"MICHIGAN, SOUTHEAST, WAYNE",UNITED STATES,CORN,MI,ALL CLASSES,9000,2012-01-01 00:00:00.000,00,1959,,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL,FIELD CROPS,COUNTY,WAYNE,90,YIELD,,CROPS,ALL PRODUCTION PRACTICES,163,00,,60.1
