county_name,location_desc,sector_desc,country_code,county_code,statisticcat_desc,zip_5,region_desc,congr_district_code,Value,group_desc,domain_desc,freq_desc,class_desc,domaincat_desc,watershed_desc,year,county_ansi,util_practice_desc,agg_level_desc,week_ending,country_name,unit_desc,source_desc,CV (%),state_ansi,prodn_practice_desc,end_code,load_time,state_alpha,asd_code,state_fips_code,reference_period_desc,watershed_code,state_name,commodity_desc,asd_desc,begin_code,short_desc
CALHOUN,"MICHIGAN, SOUTH CENTRAL, CALHOUN",CROPS,9000,025,YIELD,,,,101.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,025,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
CLINTON,"MICHIGAN, SOUTH CENTRAL, CLINTON",CROPS,9000,037,YIELD,,,,105.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,037,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
EATON,"MICHIGAN, SOUTH CENTRAL, EATON",CROPS,9000,045,YIELD,,,,90.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,045,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
HILLSDALE,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",CROPS,9000,059,YIELD,,,,97.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,059,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
INGHAM,"MICHIGAN, SOUTH CENTRAL, INGHAM",CROPS,9000,065,YIELD,,,,91.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,065,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
IONIA,"MICHIGAN, SOUTH CENTRAL, IONIA",CROPS,9000,067,YIELD,,,,94.3,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,067,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
JACKSON,"MICHIGAN, SOUTH CENTRAL, JACKSON",CROPS,9000,075,YIELD,,,,88.3,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,075,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
ST JOSEPH,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",CROPS,9000,149,YIELD,,,,104.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,149,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
SHIAWASSEE,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",CROPS,9000,155,YIELD,,,,104.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,155,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,80,26,YEAR,00000000,MICHIGAN,CORN,SOUTH CENTRAL,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
GENESEE,"MICHIGAN, SOUTHEAST, GENESEE",CROPS,9000,049,YIELD,,,,96.6,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,049,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
LAPEER,"MICHIGAN, SOUTHEAST, LAPEER",CROPS,9000,087,YIELD,,,,94.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,087,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
LENAWEE,"MICHIGAN, SOUTHEAST, LENAWEE",CROPS,9000,091,YIELD,,,,105.9,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,091,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
LIVINGSTON,"MICHIGAN, SOUTHEAST, LIVINGSTON",CROPS,9000,093,YIELD,,,,97.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,093,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MACOMB,"MICHIGAN, SOUTHEAST, MACOMB",CROPS,9000,099,YIELD,,,,99.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,099,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
MONROE,"MICHIGAN, SOUTHEAST, MONROE",CROPS,9000,115,YIELD,,,,106.8,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,115,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
OAKLAND,"MICHIGAN, SOUTHEAST, OAKLAND",CROPS,9000,125,YIELD,,,,85.1,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,125,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
ST CLAIR,"MICHIGAN, SOUTHEAST, ST CLAIR",CROPS,9000,147,YIELD,,,,96.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,147,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
WASHTENAW,"MICHIGAN, SOUTHEAST, WASHTENAW",CROPS,9000,161,YIELD,,,,89.5,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,161,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
WAYNE,"MICHIGAN, SOUTHEAST, WAYNE",CROPS,9000,163,YIELD,,,,100,FIELD CROPS,TOTAL,ANNUAL,ALL CLASSES,NOT SPECIFIED,,1980,163,GRAIN,COUNTY,,UNITED STATES,BU / ACRE,SURVEY,,26,ALL PRODUCTION PRACTICES,00,2012-01-01 00:00:00.000,MI,90,26,YEAR,00000000,MICHIGAN,CORN,SOUTHEAST,00,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE"
