domain_desc,class_desc,end_code,load_time,country_code,year,country_name,watershed_desc,county_code,state_alpha,source_desc,asd_desc,state_name,county_ansi,CV (%),statisticcat_desc,county_name,state_fips_code,util_practice_desc,state_ansi,Value,group_desc,asd_code,watershed_code,sector_desc,begin_code,zip_5,short_desc,prodn_practice_desc,location_desc,region_desc,congr_district_code,domaincat_desc,freq_desc,commodity_desc,unit_desc,agg_level_desc,week_ending,reference_period_desc
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,149,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,149,,YIELD,ST JOSEPH,26,GRAIN,26,55,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,155,MI,SURVEY,SOUTH CENTRAL,MICHIGAN,155,,YIELD,SHIAWASSEE,26,GRAIN,26,69.4,FIELD CROPS,80,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,049,MI,SURVEY,SOUTHEAST,MICHIGAN,049,,YIELD,GENESEE,26,GRAIN,26,59,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, GENESEE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,087,MI,SURVEY,SOUTHEAST,MICHIGAN,087,,YIELD,LAPEER,26,GRAIN,26,63,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, LAPEER",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,091,MI,SURVEY,SOUTHEAST,MICHIGAN,091,,YIELD,LENAWEE,26,GRAIN,26,76,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, LENAWEE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,093,MI,SURVEY,SOUTHEAST,MICHIGAN,093,,YIELD,LIVINGSTON,26,GRAIN,26,59,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, LIVINGSTON",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,099,MI,SURVEY,SOUTHEAST,MICHIGAN,099,,YIELD,MACOMB,26,GRAIN,26,65,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, MACOMB",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,115,MI,SURVEY,SOUTHEAST,MICHIGAN,115,,YIELD,MONROE,26,GRAIN,26,70,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, MONROE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,125,MI,SURVEY,SOUTHEAST,MICHIGAN,125,,YIELD,OAKLAND,26,GRAIN,26,43,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, OAKLAND",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,147,MI,SURVEY,SOUTHEAST,MICHIGAN,147,,YIELD,ST CLAIR,26,GRAIN,26,65,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, ST CLAIR",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,161,MI,SURVEY,SOUTHEAST,MICHIGAN,161,,YIELD,WASHTENAW,26,GRAIN,26,51,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, WASHTENAW",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
TOTAL,ALL CLASSES,00,2012-01-01 00:00:00.000,9000,1971,UNITED STATES,,163,MI,SURVEY,SOUTHEAST,MICHIGAN,163,,YIELD,WAYNE,26,GRAIN,26,50.9,FIELD CROPS,90,00000000,CROPS,00,,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ALL PRODUCTION PRACTICES,"MICHIGAN, SOUTHEAST, WAYNE",,,NOT SPECIFIED,ANNUAL,CORN,BU / ACRE,COUNTY,,YEAR
